date,ensemble,dji
2022-01-04,1000000.0,1000000.0
2022-01-05,1035651.9443616334,1006135.0437946115
2022-01-06,1048479.512181366,995754.9762391701
2022-01-07,1038533.6851620028,998140.8483573644
2022-01-10,1049343.663937027,1009016.6374754799
2022-01-11,1044276.4677242584,1012713.2088912973
2022-01-12,1054465.0883907625,1021620.403889078
2022-01-13,1058510.2871517488,1023044.8528817699
2022-01-14,1058652.0959133457,1022839.8684915171
2022-01-17,1066467.3264583894,1024274.6287015476
2022-01-18,1047829.7143825836,1015018.2227925153
2022-01-19,1040908.1320929108,1004057.9208487463
2022-01-20,1027115.0447955286,993462.4924248446
2022-01-21,1023257.5606749536,986321.321809308
2022-01-24,978983.5777647974,960498.1832026615
2022-01-25,992013.861852932,966623.5031277577
2022-01-27,981099.8118956567,956913.4036558355
2022-01-28,983837.557165432,955631.810705889
2022-01-31,1001750.8595030786,969230.1527665583
2022-02-01,1002855.0629332544,983404.160954709
2022-02-02,1021764.2556822778,995028.0354168128
2022-02-03,1017765.4426329614,982158.657265447
2022-02-04,1016344.8167784692,979766.2590603296
2022-02-07,990207.1708128932,962664.7135393723
2022-02-08,994717.9545348168,965795.3426972239
2022-02-09,1018404.2524684718,976778.2249017465
2022-02-10,1021003.9760402492,984464.3890362261
2022-02-11,1011104.1163428308,971548.2188416222
2022-02-14,971933.4848120692,942360.0992957178
2022-02-15,1012161.9552710536,971366.597842554
2022-02-16,1008606.1527808192,968937.9145941446
2022-02-17,1008683.5112402918,967189.2496031161
2022-02-18,1011233.947702694,966202.8315646986
2022-02-21,994603.92280505,963707.1906644588
2022-02-22,992767.9658653528,957309.9939581488
2022-02-23,995477.659895611,956163.5562683783
2022-02-24,937110.541359234,911019.3499782485
2022-02-25,969141.7941973688,933216.1378643694
2022-02-28,980089.0199351312,939711.0953527865
2022-03-02,961695.2464060786,926706.8229847215
2022-03-03,954947.3743968012,920588.485972633
2022-03-04,938234.3996348385,907743.123821144
2022-03-07,923185.5443491938,882832.3321663385
2022-03-08,922262.4726040766,892544.6505078144
2022-03-09,950967.7351796384,912981.0264464451
2022-03-10,975628.6802479976,926631.5119416296
2022-03-11,977895.3074452633,928066.7942386138
2022-03-14,983570.061779034,943699.6438975409
2022-03-15,980215.265911114,931851.7288713694
2022-03-16,1009411.7989921689,949223.3891300713
2022-03-17,1033808.6249477352,966720.0892142187
2022-03-21,1018147.7775368616,957173.1419153726
2022-03-22,1036166.0445656704,968814.6368121684
2022-03-23,1026215.176828854,963727.7478382663
2022-03-24,1025612.115046017,962238.4948024286
2022-03-25,1038956.7042488978,958337.7873876583
2022-03-28,1049552.594004147,962201.8834547903
2022-03-29,1050118.3493319058,968051.9330334727
2022-03-30,1062055.6840181851,980420.6297961029
2022-03-31,1062528.496792843,978491.3879799137
2022-04-01,1083997.2503481412,990322.79200617
2022-04-04,1092613.0791140103,1012627.1298047827
2022-04-05,1115985.921811154,1005355.698494262
2022-04-06,1118774.1332369351,995898.1585862617
2022-04-07,1104398.167787228,986284.0578529774
2022-04-08,1128767.138294228,993171.1026437308
2022-04-11,1123219.186569222,985108.2527720532
2022-04-12,1119381.0663604818,978622.6928488053
2022-04-13,1115310.6948585592,974655.8109126354
2022-04-18,1115213.3598404012,955072.2640131075
2022-04-19,1093351.7347259603,943317.5415081969
2022-04-20,1107308.627155312,952913.1081546197
2022-04-21,1129597.6616630636,967517.838079691
2022-04-22,1116603.348262795,955580.3198800662
2022-04-25,1109478.872001656,945267.9278460167
2022-04-26,1137802.1182823265,958244.3990837896
2022-04-27,1115812.2745399557,949269.202260271
2022-04-28,1128196.457759865,960991.8164175203
2022-04-29,1113905.6703834615,953303.5639352252
2022-05-02,1111180.9330978475,951885.4452468486
2022-05-04,1080279.4411087118,930050.3983588718
2022-05-05,1080401.618747719,930605.050486461
2022-05-06,1071931.2600975118,916126.0782563967
2022-05-09,1058857.3842697225,910029.6688963695
2022-05-10,1039127.7822990498,908261.751948918
2022-05-11,1039373.3963508686,903642.9791900056
2022-05-12,1020262.6886406024,884295.1545501378
2022-05-13,1020800.345905312,882011.5462140277
2022-05-16,1028826.147857674,885022.4216768416
2022-05-17,1055493.1324348531,907486.8443876762
2022-05-18,1051682.5730896078,905650.1424840558
2022-05-19,1028900.8230056844,881988.3133445818
2022-05-20,1081592.043499001,907619.1934304754
2022-05-23,1072708.189708718,906987.990303279
2022-05-24,1072515.4215431295,903045.1896278551
2022-05-25,1051431.5949974142,897977.2263060298
2022-05-26,1048250.5092697224,906385.240915067
2022-05-27,1060740.3735885702,916946.0810782766
2022-05-30,1081191.3452110372,934339.1469020861
2022-05-31,1084315.6730003438,928335.9300633201
2022-06-01,1073725.5790252767,925241.1943835451
2022-06-02,1088241.044612893,932541.0141721809
2022-06-03,1082882.5644874654,931724.4049155009
2022-06-06,1086560.8019447408,930155.4683583329
2022-06-07,1075480.8817100606,920666.3421896248
2022-06-08,1066616.77883149,917076.8638602144
2022-06-09,1089499.6790237508,924223.9079539817
2022-06-10,1084952.849864968,907235.7858237468
2022-06-13,1048232.7493515096,882898.3109051303
2022-06-14,1076238.0400199972,880340.0195704295
2022-06-15,1073443.532245644,877797.5866269515
2022-06-16,1037792.0074653706,860328.9487165732
2022-06-17,1036754.2393236012,858067.3985542629
2022-06-20,1041693.1357314688,862033.8889252174
2022-06-21,1067788.736434792,877641.8741929678
2022-06-22,1060093.1451109394,865787.7593842194
2022-06-23,1073462.4886625751,873191.9965636237
2022-06-24,1080519.715453957,880914.9025674801
2022-06-27,1086980.161643837,888153.9644868622
2022-06-28,1096568.0436628803,888424.0792246069
2022-06-29,1094379.2949293598,885910.0347592442
2022-06-30,1097967.403785561,885775.9236729757
2022-07-01,1093623.8178251728,883921.2750303169
2022-07-04,1090561.302474831,889381.7172196938
2022-07-05,1096628.7023542866,887704.0560543878
2022-07-06,1099020.3724287497,898005.7453058836
2022-07-07,1091154.7392424091,905147.7643127202
