date,ADANIENT.NS,APOLLOHOSP.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BHARTIARTL.NS,BRITANNIA.NS,CIPLA.NS,DRREDDY.NS,HEROMOTOCO.NS,HINDALCO.NS,ICICIBANK.NS,LT.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,RELIANCE.NS,TATACONSUM.NS,TATASTEEL.NS,TCS.NS,TITAN.NS,ULTRACEMCO.NS,WIPRO.NS
2022-01-04,0,0,100,91,0,0,0,0,0,0,0,1,0,0,0,100,0,0,0,0,0,0,0
2022-01-05,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,2,0,0,0,0,1,0,0
2022-01-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,-1,0,0
2022-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,100,0,0,-24,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
2022-01-19,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,3,0,0,1,0,0,0,0
2022-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
2022-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
