date,ensemble
2022-01-04,1000000.0
2022-01-05,1012284.8073874512
2022-01-06,1021700.4966467286
2022-01-07,1023158.4296629182
2022-01-10,1047466.6924239198
2022-01-11,1051516.8808089297
2022-01-12,1054008.3835427058
2022-01-13,1046997.1795784724
2022-01-14,1051643.8947139855
2022-01-17,1066936.7827872622
2022-01-18,1040615.0318415606
2022-01-19,1042438.9347100604
2022-01-20,1028320.4331086812
2022-01-21,1026410.5030397114
2022-01-24,1009154.8288674168
2022-01-25,1014862.0732839818
2022-01-27,990427.440898728
2022-01-28,987904.7517490392
2022-01-31,998086.9964677356
2022-02-01,1007862.5722708364
2022-02-02,1006732.0715922054
2022-02-03,996682.7080057797
2022-02-04,996517.6251503108
2022-02-07,982449.678815472
2022-02-08,984028.1662634092
2022-02-09,999173.851452557
2022-02-10,1000917.88692619
2022-02-11,984067.146939816
2022-02-14,955177.710762463
2022-02-15,984483.4153666652
2022-02-16,982758.7898939176
2022-02-17,976759.3955305142
2022-02-18,973807.2236016812
2022-02-21,964742.2298813747
2022-02-22,954999.0417710232
2022-02-23,958375.3719712186
2022-02-24,921416.9749531216
2022-02-25,946688.1595219084
2022-02-28,960477.22163197
2022-03-02,957860.4966474692
2022-03-03,944991.678265206
2022-03-04,919975.5668153388
2022-03-07,900109.456203217
2022-03-08,899209.4300927434
2022-03-09,930811.3330790716
2022-03-10,948510.2799048164
2022-03-11,953457.3685212714
2022-03-14,959175.8547675024
2022-03-15,956778.3632210928
2022-03-16,972257.31261612
2022-03-17,999526.4288291328
2022-03-21,995131.2459497076
2022-03-22,1004131.7230310064
2022-03-23,1000392.4946374518
2022-03-24,987258.137703858
2022-03-25,962631.7240991218
2022-03-28,966404.7467646262
2022-03-29,966290.0240787512
2022-03-30,964607.8730028692
2022-03-31,968554.7058886116
2022-04-01,967495.734712464
2022-04-04,968031.1498125616
2022-04-05,979823.7897356574
2022-04-06,972264.966127259
2022-04-07,951848.9311823128
2022-04-08,946072.6897506112
2022-04-11,942990.0305234992
2022-04-12,943833.6997129524
2022-04-13,930470.2797758186
2022-04-18,934199.2109891976
2022-04-19,918903.789510926
2022-04-20,942321.2231962288
2022-04-21,963166.9334013067
2022-04-22,964483.1658994758
2022-04-25,962455.7166196906
2022-04-26,962320.4285032356
2022-04-27,947329.496893128
2022-04-28,957910.6878873908
2022-04-29,936737.014623841
2022-05-02,923931.1251890266
2022-05-04,900339.2727109992
2022-05-05,904572.0720884406
2022-05-06,887500.5452024543
2022-05-09,894249.4884245002
2022-05-10,906210.4535123908
2022-05-11,893849.8705656135
2022-05-12,879964.3060361946
2022-05-13,863281.959219178
2022-05-16,877241.6816770637
2022-05-17,911828.6134550178
2022-05-18,913402.4456235968
2022-05-19,887843.9608366096
2022-05-20,908682.7063505256
2022-05-23,939172.575323304
2022-05-24,927749.5067045296
2022-05-25,922256.556875428
2022-05-26,927067.8643247688
2022-05-27,943417.0621702278
2022-05-30,953328.0513364876
2022-05-31,950397.0239774788
2022-06-01,945046.6569425666
2022-06-02,944896.23691388
2022-06-03,924133.247701844
2022-06-06,924712.0984098518
2022-06-07,933030.0363676156
2022-06-08,941475.120092591
2022-06-09,947046.705602845
2022-06-10,942829.3821317756
2022-06-13,933639.4520017708
2022-06-14,924081.0913297737
2022-06-15,925845.831899842
2022-06-16,917192.8351041876
2022-06-17,916275.7377015082
2022-06-20,913198.5162230995
2022-06-21,927064.0146972206
2022-06-22,925556.3851348428
2022-06-23,979364.405154374
2022-06-24,989391.0630370644
2022-06-27,999985.8219481972
2022-06-28,1005108.0544005898
2022-06-29,1005755.6884795692
2022-06-30,1000837.10328975
2022-07-01,992070.1870757608
2022-07-04,997692.9585448768
2022-07-05,987724.2068206336
2022-07-06,1018754.8968841104
2022-07-07,1017548.1285430458
2022-07-08,1003235.6105320444
2022-07-11,1007862.5026829232
2022-07-12,997243.1845676888
2022-07-13,1001196.4246189584
2022-07-14,1014665.2207615364
2022-07-15,1038692.5277073372
2022-07-18,1030978.9775364388
2022-07-19,1031509.9175999154
2022-07-20,1037154.2391941536
2022-07-21,1041543.7834780586
2022-07-22,1045880.844803132
2022-07-25,1022642.9119723212
2022-07-26,1011630.7457507028
2022-07-27,1027259.8634112251
2022-07-28,1034004.6286776436
2022-07-29,1040687.1969759834
2022-08-01,1067569.7182085884
2022-08-02,1085827.960579194
2022-08-03,1069936.9514109811
2022-08-04,1073952.2778269968
2022-08-05,1059375.103693696
2022-08-08,1068127.1633250436
2022-08-10,1064483.356074067
2022-08-11,1057374.0476634223
2022-08-12,1043963.3610179146
2022-08-16,1077590.3633982858
2022-08-17,1070297.2952830514
2022-08-18,1071298.9038035593
2022-08-19,1052806.0062205514
2022-08-22,1035635.9363352974
2022-08-23,1047479.0398509224
2022-08-24,1045345.1351268012
2022-08-25,1047634.7796580512
2022-08-26,1045518.644037934
2022-08-29,1057381.0073191845
2022-08-30,1086347.0327098093
2022-09-01,1078534.8875071723
2022-09-02,1065953.1961582268
2022-09-05,1070116.006651696
2022-09-06,1064791.2054889763
2022-09-07,1054034.4067164697
2022-09-08,1054660.413141732
2022-09-09,1071252.1624334725
2022-09-12,1070053.2686041268
2022-09-13,1069763.93779358
2022-09-14,1074076.8472021492
2022-09-15,1097771.9873074272
2022-09-16,1094926.383542291
2022-09-19,1104398.0423252496
2022-09-20,1110977.3599827203
2022-09-21,1103879.6850559623
2022-09-22,1119931.7076084528
2022-09-23,1113876.7161838922
2022-09-26,1058063.8355381405
2022-09-27,1052431.84133648
2022-09-28,1047051.7715453118
2022-09-29,1036690.02862539
2022-09-30,1058778.8643187494
2022-10-03,1029124.9090323572
2022-10-04,1046473.96721412
2022-10-06,1047846.1029893808
2022-10-07,1055684.677696412
2022-10-10,1063638.3388902596
2022-10-11,1030605.3226984874
2022-10-12,1045511.5012885828
2022-10-13,1041949.0859672328
2022-10-14,1053385.1092445157
2022-10-17,1049127.4022361538
2022-10-18,1072931.9703132412
2022-10-19,1084604.5846092007
2022-10-20,1097487.3673087857
2022-10-21,1102831.3197089932
2022-10-24,1130393.4507056973
2022-10-25,1113078.72423475
2022-10-27,1110057.5991279385
2022-10-28,1116979.5337592862
2022-10-31,1131717.681128671
2022-11-01,1140915.6188117764
2022-11-02,1130686.798491647
2022-11-03,1131719.4903861785
2022-11-04,1132240.7379752896
2022-11-07,1134382.311484506
2022-11-09,1126081.473883798
2022-11-10,1116402.5106117032
2022-11-11,1127202.3630897305
2022-11-14,1116289.663184335
2022-11-15,1115210.2012702725
2022-11-16,1117468.1925880215
2022-11-17,1116553.779502084
2022-11-18,1112620.2098151944
2022-11-21,1104503.4780189297
2022-11-22,1101390.3404609463
2022-11-23,1099276.8214484951
2022-11-24,1109601.15543287
2022-11-25,1103370.818701913
2022-11-28,1114353.2552253506
2022-11-29,1125190.5592109463
2022-11-30,1131791.439322641
2022-12-01,1130407.7360145352
2022-12-02,1116153.873114755
2022-12-05,1116412.1132270596
2022-12-06,1123200.62267225
2022-12-07,1126897.9851905606
2022-12-08,1128820.3868781826
2022-12-09,1143830.3696052334
2022-12-12,1154541.8944160244
2022-12-13,1152249.3022681973
2022-12-14,1142883.6761543057
2022-12-15,1127106.8444282317
2022-12-16,1126193.4377509854
2022-12-19,1141248.4482337737
2022-12-20,1140200.248099496
2022-12-21,1146349.6976539397
2022-12-22,1140780.3381416104
