date,ensemble,dji
2022-01-04,1000000.0,1000000.0
2022-01-05,1012284.8073874512,1006135.0437946115
2022-01-06,1021700.4966467286,995754.9762391701
2022-01-07,1023158.4296629182,998140.8483573644
2022-01-10,1047466.6924239198,1009016.6374754799
2022-01-11,1051516.8808089297,1012713.2088912973
2022-01-12,1054008.3835427058,1021620.403889078
2022-01-13,1046997.1795784724,1023044.8528817699
2022-01-14,1051643.8947139855,1022839.8684915171
2022-01-17,1066936.7827872622,1024274.6287015476
2022-01-18,1040615.0318415606,1015018.2227925153
2022-01-19,1042438.9347100604,1004057.9208487463
2022-01-20,1028320.4331086812,993462.4924248446
2022-01-21,1026410.5030397114,986321.321809308
2022-01-24,1009154.8288674168,960498.1832026615
2022-01-25,1014862.0732839818,966623.5031277577
2022-01-27,990427.440898728,956913.4036558355
2022-01-28,987904.7517490392,955631.810705889
2022-01-31,998086.9964677356,969230.1527665583
2022-02-01,1007862.5722708364,983404.160954709
2022-02-02,1006732.0715922054,995028.0354168128
2022-02-03,996682.7080057797,982158.657265447
2022-02-04,996517.6251503108,979766.2590603296
2022-02-07,982449.678815472,962664.7135393723
2022-02-08,984028.1662634092,965795.3426972239
2022-02-09,999173.851452557,976778.2249017465
2022-02-10,1000917.88692619,984464.3890362261
2022-02-11,984067.146939816,971548.2188416222
2022-02-14,955177.710762463,942360.0992957178
2022-02-15,984483.4153666652,971366.597842554
2022-02-16,982758.7898939176,968937.9145941446
2022-02-17,976759.3955305142,967189.2496031161
2022-02-18,973807.2236016812,966202.8315646986
2022-02-21,964742.2298813747,963707.1906644588
2022-02-22,954999.0417710232,957309.9939581488
2022-02-23,958375.3719712186,956163.5562683783
2022-02-24,921416.9749531216,911019.3499782485
2022-02-25,946688.1595219084,933216.1378643694
2022-02-28,960477.22163197,939711.0953527865
2022-03-02,957860.4966474692,926706.8229847215
2022-03-03,944991.678265206,920588.485972633
2022-03-04,919975.5668153388,907743.123821144
2022-03-07,900109.456203217,882832.3321663385
2022-03-08,899209.4300927434,892544.6505078144
2022-03-09,930811.3330790716,912981.0264464451
2022-03-10,948510.2799048164,926631.5119416296
2022-03-11,953457.3685212714,928066.7942386138
2022-03-14,959175.8547675024,943699.6438975409
2022-03-15,956778.3632210928,931851.7288713694
2022-03-16,972257.31261612,949223.3891300713
2022-03-17,999526.4288291328,966720.0892142187
2022-03-21,995131.2459497076,957173.1419153726
