account_rewards,date
12284.807387451292,2022-01-04
9415.689259277307,2022-01-05
1457.9330161896069,2022-01-06
24308.26276100159,2022-01-07
4050.188385009882,2022-01-10
2491.502733776113,2022-01-11
-7011.203964233515,2022-01-12
4646.715135513456,2022-01-13
15292.888073276496,2022-01-14
-26321.750945701613,2022-01-17
1823.9028684997465,2022-01-18
-14118.501601379248,2022-01-19
-1909.9300689697266,2022-01-20
-17255.67417229456,2022-01-21
5707.244416564936,2022-01-24
-24434.632385253906,2022-01-25
-2522.6891496886965,2022-01-27
10182.244718696573,2022-01-28
9775.575803100597,2022-01-31
-1130.500678630895,2022-02-01
-10049.363586425781,2022-02-02
-165.0828554687323,2022-02-03
-14067.946334838867,2022-02-04
1578.4874479370192,2022-02-07
15145.685189147945,2022-02-08
1744.035473632859,2022-02-09
-16850.739986373927,2022-02-10
-28889.43617735291,2022-02-11
29305.7046042023,2022-02-14
-1724.6254727478372,2022-02-15
-5999.39436340332,2022-02-16
-2952.171928833006,2022-02-17
-9064.993720306316,2022-02-18
-9743.188110351562,2022-02-21
3376.3302001953125,2022-02-22
-36958.397018096875,2022-02-23
25271.184568786644,2022-02-24
13789.06211006164,2022-02-25
-2616.7249845009064,2022-02-28
-12868.818382263184,2022-03-02
-25016.111449867254,2022-03-03
-19866.110612121643,2022-03-04
-900.026110473671,2022-03-07
31601.902986328234,2022-03-08
17698.9468257447,2022-03-09
4947.08861645509,2022-03-10
5718.486246231012,2022-03-11
-2397.491546409554,2022-03-14
15478.949395027244,2022-03-15
27269.116213012603,2022-03-16
-4395.182879425003,2022-03-17
9000.477081298828,2022-03-21
-3739.2283935546875,2022-03-22
-13134.35693359375,2022-03-23
-24626.413604736328,2022-03-24
3773.0226655044826,2022-03-25
-114.72268587490544,2022-03-28
-1682.1510758820223,2022-03-29
3946.8328857421875,2022-03-30
-1058.971176147461,2022-03-31
535.4151000976562,2022-04-01
11792.639923095703,2022-04-04
