date,ADANIENT.NS,APOLLOHOSP.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BHARTIARTL.NS,BRITANNIA.NS,CIPLA.NS,DRREDDY.NS,HEROMOTOCO.NS,HINDALCO.NS,ICICIBANK.NS,LT.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,RELIANCE.NS,TATACONSUM.NS,TATASTEEL.NS,TCS.NS,TITAN.NS,ULTRACEMCO.NS,WIPRO.NS
2022-01-04,98,0,0,0,0,0,0,0,0,0,0,0,100,0,10,0,0,0,0,0,0,0,100
2022-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,27,0,0,0,12,0,0,-67
2022-01-06,-67,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,36,0,0,0,-33
2022-01-07,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0,3,0,0,-36,-12,0,0,0
2022-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,27,0,0,0,0,0,0,0,0,0,1,-24,0,0,0,-30,0,0,5,0,0,0,0
2022-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-13,-28,0,0,0,0,0,0,0,1,0,0,100,-39,0,0,0,0,0,6,43,0,0,0
2022-01-14,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,2,0,0,-11,0,1,0,0
2022-01-17,-30,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,2,0,0,0,0
2022-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0
2022-01-19,0,0,0,0,0,0,0,0,0,0,0,0,-61,25,0,1,0,0,0,0,7,0,0
2022-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-21,0,0,0,0,0,0,0,1,0,0,0,-100,0,10,0,-3,0,0,34,0,0,0,0
2022-01-24,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-34,-43,0,0,0
2022-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-27,-30,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,15,0,0,0,0
2022-01-28,0,0,0,0,0,0,0,7,0,0,-38,0,0,0,0,6,0,0,-14,0,0,0,0
2022-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,-8,0,0
2022-02-01,-37,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,-17,0,4,0,0
2022-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2022-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-07,100,0,0,0,0,0,0,0,0,0,0,0,0,-24,0,17,0,0,-2,3,100,0,0
2022-02-08,0,0,0,5,0,0,0,0,0,0,100,0,0,0,0,18,0,0,0,0,-48,0,0
2022-02-09,0,0,0,-5,0,0,0,0,0,0,45,0,0,0,0,-5,0,0,0,0,0,0,0
2022-02-10,0,0,0,0,0,0,0,-26,0,0,50,0,0,0,0,100,0,0,4,0,0,0,100
