date,ensemble
2022-01-03,1000000.0
2022-01-04,1003626.5451080322
2022-01-05,998610.411889267
2022-01-06,997494.8909923554
2022-01-07,996087.9827905732
2022-01-10,986817.8197427826
2022-01-11,990527.0954080658
2022-01-12,986866.1450716096
2022-01-13,988502.2612520294
2022-01-14,973089.7327905732
2022-01-18,954838.0687357024
2022-01-19,941272.488550766
2022-01-20,932680.8056970672
2022-01-21,921372.4821191864
2022-01-24,925699.42537175
2022-01-25,930024.7366319732
2022-01-26,925154.825407608
2022-01-27,918675.7843118744
2022-01-28,937145.6150461274
2022-01-31,936208.4895643158
2022-02-01,939417.2128156588
2022-02-02,942820.7733373566
2022-02-03,934214.0449201508
2022-02-04,933887.9081316986
2022-02-07,935532.8700495758
2022-02-08,942149.5701724092
2022-02-09,949193.2122126616
2022-02-10,938779.16353331
2022-02-11,925563.9819155732
2022-02-14,921001.735848526
2022-02-15,932162.7050410308
2022-02-16,929976.9557162324
2022-02-17,917458.7119494476
2022-02-18,912137.3271342316
2022-02-22,894439.9378596344
2022-02-23,881079.3577815094
2022-02-24,878937.5032969513
2022-02-25,899530.006009201
2022-02-28,890804.1420718231
2022-03-01,867419.7697001495
2022-03-02,881670.8110590973
2022-03-03,875716.1705485382
2022-03-04,865815.2677126923
2022-03-07,839010.618622879
2022-03-08,834498.30749617
2022-03-09,852928.9536715546
2022-03-10,849859.8655787506
2022-03-11,845689.4444056549
2022-03-14,849703.1624041595
2022-03-15,867101.2951823273
2022-03-16,884931.6984454193
2022-03-17,894361.521962265
2022-03-18,902082.9136286774
2022-03-21,891170.947995285
2022-03-22,899549.0351954498
2022-03-23,883546.4658061066
2022-03-24,891272.7853098908
2022-03-25,895606.6196833649
2022-03-28,897431.8957873383
2022-03-29,909248.5573855438
2022-03-30,905739.0386744536
2022-03-31,891061.0597811737
2022-04-01,895068.8777705231
2022-04-04,894485.096257309
2022-04-05,886589.7411057816
2022-04-06,881508.3906253433
2022-04-07,882255.6036384049
2022-04-08,884432.1193055687
2022-04-11,873715.0804519539
2022-04-12,867946.9721596336
2022-04-13,879876.6591267167
2022-04-14,877741.4865647736
2022-04-18,877023.9771112137
2022-04-19,890122.2134602586
2022-04-20,900170.4027883302
2022-04-21,894351.5576268617
2022-04-22,873068.4366794511
2022-04-25,878746.9212379686
2022-04-26,855643.4760492174
2022-04-27,856360.3484474642
2022-04-28,871903.0075431444
2022-04-29,844851.0125483782
2022-05-02,840414.9513121874
2022-05-03,841925.2392527773
2022-05-04,862424.192654114
2022-05-05,839537.5823136828
2022-05-06,827060.8086310617
2022-05-09,807114.2916912043
2022-05-10,803161.672680279
2022-05-11,797721.1633894312
2022-05-12,786734.365275387
2022-05-13,800776.8169836809
2022-05-16,797440.5882022325
2022-05-17,776037.4918996126
2022-05-18,775261.472168236
2022-05-19,772419.6319073185
2022-05-20,772177.5507536894
2022-05-23,776929.5134847456
2022-05-24,776398.6056901137
2022-05-25,778463.4273691988
2022-05-26,787030.4204703949
2022-05-27,798438.0868611189
2022-05-31,796349.1583310745
2022-06-01,790390.1444208801
2022-06-02,802402.1585006454
2022-06-03,794325.6130250785
2022-06-06,794305.1103159721
2022-06-07,800536.4524436577
2022-06-08,792782.9742348375
2022-06-09,774185.1563646592
2022-06-10,754073.8257832994
2022-06-13,726130.5104319429
2022-06-14,728519.8259435358
2022-06-15,740351.3248709039
2022-06-16,720519.5194432192
2022-06-17,725065.3412418985
2022-06-21,738725.3173704691
2022-06-22,732681.9308493624
2022-06-23,729731.5376121416
2022-06-24,749114.8749605074
2022-06-27,746437.9408697862
2022-06-28,738117.0682976046
2022-06-29,733650.6639001169
2022-06-30,728566.8417986345
2022-07-01,736689.0960920228
2022-07-05,735357.0491873941
2022-07-06,735446.183235856
2022-07-07,746166.7568444528
2022-07-08,745296.979202775
2022-07-11,740855.3647933741
2022-07-12,744479.7391845179
2022-07-13,739249.2735746966
2022-07-14,740939.7721663829
2022-07-15,754344.453479661
2022-07-18,753352.1525892497
2022-07-19,775467.1467053385
2022-07-20,780770.2664768648
2022-07-21,788456.892002534
2022-07-22,784366.1635365611
2022-07-25,783905.8660611125
2022-07-26,773756.7213216258
2022-07-27,782735.6668946658
2022-07-28,791991.3992078829
2022-07-29,801694.7627561617
2022-08-01,800893.072602254
2022-08-02,798080.7061281024
2022-08-03,804432.6799962817
2022-08-04,799661.2393427669
2022-08-05,800998.2141068354
2022-08-08,803171.6460144892
2022-08-09,805189.757029809
2022-08-10,817571.3813317195
2022-08-11,819536.3413689509
2022-08-12,830218.4249298945
2022-08-15,834234.2771103755
2022-08-16,837520.9242928401
2022-08-17,834227.3789322749
2022-08-18,835429.6485855952
2022-08-19,829766.8201554194
2022-08-22,815878.180606164
2022-08-23,811236.691783227
2022-08-24,812907.41547326
2022-08-25,821131.0584633723
2022-08-26,800550.5821755305
2022-08-29,797669.1261780635
2022-08-30,789579.5333569422
2022-08-31,784641.1825211421
2022-09-01,787284.8269074336
2022-09-02,778536.9513695613
2022-09-06,774585.7707703486
2022-09-07,783768.5982830897
2022-09-08,788416.1356060877
2022-09-09,796160.5845959559
2022-09-12,799875.5380318537
2022-09-13,769774.1155770198
2022-09-14,769987.2082302943
2022-09-15,769644.6547768489
2022-09-16,765524.1373494044
2022-09-19,768256.7898152247
2022-09-20,761985.8786251917
2022-09-21,749914.3683159724
2022-09-22,749396.9834454432
2022-09-23,735084.0520966426
2022-09-26,725727.8638546839
2022-09-27,721946.6906330958
2022-09-28,736281.720784463
2022-09-29,725304.2323315516
2022-09-30,714871.3788922206
2022-10-03,734275.1337712184
2022-10-04,755075.8177178279
2022-10-05,753471.9500661785
2022-10-06,743001.9121350795
2022-10-07,726403.2118229076
2022-10-10,724103.2229610949
2022-10-11,725925.9072710964
2022-10-12,725125.8808581325
2022-10-13,745316.0129191371
2022-10-14,737524.345808694
2022-10-17,750503.3878352138
2022-10-18,757989.5884654018
2022-10-19,754900.058649728
2022-10-20,749545.6522433254
2022-10-21,768149.6475588771
2022-10-24,778983.471174905
2022-10-25,786002.1092822048
2022-10-26,790151.843226144
2022-10-27,796430.8017069789
2022-10-28,816863.1159541103
2022-10-31,815573.3007914516
2022-11-01,811947.6121432277
2022-11-02,799646.1897112819
2022-11-03,798041.7352969142
2022-11-04,805316.7485148403
2022-11-07,813231.9990183803
2022-11-08,818466.4483820888
2022-11-09,799673.6513468715
2022-11-10,823096.7996546718
2022-11-11,819549.6775271388
2022-11-14,813948.0508143398
2022-11-15,812423.9910113307
2022-11-16,814763.6908785793
2022-11-17,815042.206545541
2022-11-18,822066.3929621669
2022-11-21,825550.7985064479
2022-11-22,833791.7576243373
2022-11-23,836709.5031382533
2022-11-25,842260.4954134914
2022-11-28,829091.0560099575
2022-11-29,828432.7235018703
2022-11-30,846276.7906710597
2022-12-01,842909.9604556056
2022-12-02,845496.2637316677
2022-12-05,834003.4738985988
2022-12-06,829300.1112009975
2022-12-07,831640.4026629421
2022-12-08,836879.9642779323
2022-12-09,829821.6328646633
2022-12-12,842135.8811747524
2022-12-13,841685.4584490749
2022-12-14,839706.3130404445
2022-12-15,822060.9231707546
2022-12-16,815031.9086901637
2022-12-19,810116.456671426
2022-12-20,811539.1191279384
2022-12-21,823284.1243311855
2022-12-22,817405.5737254116
2022-12-23,822881.003885934
2022-12-27,823524.341448495
2022-12-28,814711.9229800197
2022-12-29,823049.4308192226
2022-12-30,819680.6626727077
2023-01-03,819287.2042757961
