account_rewards,date
-7895.355151527328,2022-04-04
-5081.3504804383265,2022-04-05
747.2130130615551,2022-04-06
2176.5156671638833,2022-04-07
-10717.038853614824,2022-04-08
-5768.1082923202775,2022-04-11
11929.68696708302,2022-04-12
-2135.1725619430654,2022-04-13
-717.5094535598764,2022-04-14
13098.236349044833,2022-04-18
10048.189328071661,2022-04-19
-5818.845161468489,2022-04-20
-21283.120947410585,2022-04-21
5678.484558517463,2022-04-22
-23103.44518875121,2022-04-25
716.8723982467782,2022-04-26
15542.659095680225,2022-04-27
-27051.994994766195,2022-04-28
-4436.0612361908425,2022-04-29
1510.287940589944,2022-05-02
20498.95340133668,2022-05-03
-22886.610340431216,2022-05-04
-12476.773682621075,2022-05-05
-19946.516939857393,2022-05-06
-3952.619010925293,2022-05-09
-5440.509290847811,2022-05-10
-10986.798114044243,2022-05-11
14042.451708293986,2022-05-12
-3336.2287814484444,2022-05-13
-21403.096302619902,2022-05-16
-776.019731376553,2022-05-17
-2841.8402609175537,2022-05-18
-242.08115362911485,2022-05-19
4751.962731056265,2022-05-20
-530.9077946319012,2022-05-23
2064.8216790850274,2022-05-24
8566.99310119613,2022-05-25
11407.666390724014,2022-05-26
-2088.928530044388,2022-05-27
-5959.013910194393,2022-05-31
12012.0140797653,2022-06-01
-8076.545475566876,2022-06-02
-20.502709106425755,2022-06-03
6231.3421276855515,2022-06-06
-7753.478208820219,2022-06-07
-18597.81787017826,2022-06-08
-20111.330581359798,2022-06-09
-27943.31535135652,2022-06-10
2389.3155115928967,2022-06-13
11831.498927368084,2022-06-14
-19831.80542768468,2022-06-15
4545.821798679302,2022-06-16
13659.976128570619,2022-06-17
-6043.386521106702,2022-06-21
-2950.393237220822,2022-06-22
19383.337348365807,2022-06-23
-2676.934090721188,2022-06-24
-8320.87257218163,2022-06-27
-4466.40439748764,2022-06-28
-5083.822101482423,2022-06-29
8122.254293388338,2022-06-30
-1332.0469046287471,2022-07-01
