date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2022-04-04,0,100,100,-35,0,0,100,0,0,0,-100,0,0,0,-100,0,-91,-15,35,100,0,-42,0,-85,0,100,2,0,0
2022-04-05,0,-3,24,0,0,0,-100,0,0,0,-6,0,0,2,-12,-100,-37,100,-25,-70,0,-58,0,0,0,-8,-2,0,100
2022-04-06,0,0,100,-81,0,0,-82,0,0,-100,-1,0,100,-100,-100,-82,97,72,-100,-30,100,-48,0,0,0,29,0,1,100
2022-04-07,100,-49,38,28,0,0,54,0,0,-46,-16,0,28,-100,100,-94,22,-100,100,41,-89,-100,0,-67,0,-32,72,11,100
2022-04-08,1,81,-100,0,49,0,73,0,0,-18,100,0,0,-49,-16,0,0,0,-36,-41,0,-52,0,0,0,100,-72,0,0
2022-04-11,-100,-66,100,-100,-49,0,10,100,0,-100,0,0,100,-54,-60,-20,-30,-26,100,0,0,0,0,100,0,100,0,0,100
2022-04-12,-1,-63,17,100,6,72,-66,45,0,-13,-100,0,-39,0,79,-4,55,-61,-99,0,100,0,0,-100,0,-100,0,-12,100
2022-04-13,0,80,100,55,-6,-72,100,-35,0,-77,-75,0,-100,72,-33,0,-74,-9,-100,100,27,16,0,-100,20,-56,0,9,100
2022-04-14,47,100,0,-100,100,0,100,0,100,0,-34,0,-34,0,100,0,-37,-58,100,0,-35,-16,1,0,0,0,0,-9,100
2022-04-18,100,0,0,0,0,0,0,0,-100,100,-68,0,0,-72,0,0,-100,-58,-64,100,-25,0,-1,-48,-20,91,0,0,100
2022-04-19,-90,0,100,0,-100,0,-72,100,0,-29,0,0,100,0,-100,0,-36,-100,1,-25,82,0,0,0,0,54,0,0,100
2022-04-20,0,-4,100,96,0,0,-9,0,0,-71,0,0,100,0,-100,0,-69,-69,-2,-5,0,0,0,0,0,0,1,0,100
2022-04-21,-57,-28,100,100,0,0,68,-35,0,0,0,0,-32,0,-21,0,0,60,-100,-27,-98,0,0,0,0,-18,-1,54,100
